name,location,main_cuisine,rate,votes,approx_cost(for two people),rest_type
Ranganna Military Hotel,Jayanagar,Indian,4.2,760,350.0,Quick Bites
Maiyas,Jayanagar,Indian,4.0,1778,200.0,Quick Bites
The Krishna Grand Xpress,Jayanagar,Indian,4.0,136,350.0,Quick Bites
Empark Inn Restaurant,Jayanagar,Indian,3.7,38,350.0,Quick Bites
Bengaluru Cafe,Jayanagar,Indian,4.4,134,150.0,Quick Bites
Vakulaa Veg Restaurant,Jayanagar,Indian,3.9,49,200.0,Quick Bites
Brahmin Tiffins & Coffee,Jayanagar,Indian,4.2,421,100.0,Quick Bites
Upahara Darshini,Jayanagar,Indian,3.8,339,400.0,Quick Bites
Food Springs,Jayanagar,Indian,4.0,232,400.0,Quick Bites
Uphar Dharshni,Jayanagar,Indian,3.6,15,150.0,Quick Bites
Petoo,Jayanagar,Indian,3.9,20,800.0,Quick Bites
Fanoos Xprss,Jayanagar,Indian,3.7,53,400.0,Quick Bites
Starlite Bakery & Fastfood,Jayanagar,Indian,3.7,23,300.0,Quick Bites
Iyengar's Inn,Jayanagar,Indian,4.1,52,100.0,Quick Bites
Kaapi Kendra,Jayanagar,Indian,3.7,14,100.0,Quick Bites
Bangalore Agarwal Bhavan,Jayanagar,Indian,3.9,134,400.0,Quick Bites
Vasudev Adiga's,Jayanagar,Indian,3.8,265,250.0,Quick Bites
Trendz Corner,Jayanagar,Indian,3.6,31,200.0,Quick Bites
Fishland Deluxe,Jayanagar,Indian,3.5,9,500.0,Quick Bites
36th Cross Coffee Mane,Jayanagar,Indian,3.6,16,200.0,Quick Bites
Nandhi Andhra Style Family Restaurant,Jayanagar,Indian,3.4,13,400.0,Quick Bites
Adiga's,Jayanagar,Indian,3.3,55,150.0,Quick Bites
Vybhava,Jayanagar,Indian,3.8,39,250.0,Quick Bites
Wahab,Jayanagar,Indian,3.7,97,350.0,Quick Bites
Pavithra Restaurant,Jayanagar,Indian,3.4,133,300.0,Quick Bites
Anda Ka Funda,Jayanagar,Indian,3.4,89,250.0,Quick Bites
Sangam Military Hotel,Jayanagar,Indian,3.2,14,250.0,Quick Bites
Adithya,Jayanagar,Indian,3.7,28,300.0,Quick Bites
Shree Balaji Paratha House,Jayanagar,Indian,3.0,17,200.0,Quick Bites
Saarangi Express,Jayanagar,Indian,3.4,6,250.0,Quick Bites
Sri Udupi Veg,Jayanagar,Indian,3.3,4,250.0,Quick Bites
Adithya Veg,Jayanagar,Indian,3.3,10,300.0,Quick Bites
Kolkata Restaurant,Jayanagar,Indian,3.0,7,300.0,Quick Bites
New Punjabi Dhaba,HSR,Indian,3.9,782,300.0,Quick Bites
Fun Kitchen,HSR,Indian,3.8,87,400.0,Quick Bites
Bihar Ki Shan,HSR,Indian,3.9,343,300.0,Quick Bites
Mandya Gowdru Donne Biriyani,HSR,Indian,3.8,281,350.0,Quick Bites
Indori Zaika,HSR,Indian,2.8,105,300.0,Quick Bites
Sri Krishna Sagar,HSR,Indian,3.5,234,400.0,Quick Bites
Petoo,HSR,Indian,4.1,103,800.0,Quick Bites
Kabab Magic,HSR,Indian,3.1,281,400.0,Quick Bites
Juice Junction Food Court,HSR,Indian,3.8,210,200.0,Quick Bites
Charcoal Eats,HSR,Indian,4.0,55,500.0,Quick Bites
Homifoo,HSR,Indian,3.5,11,300.0,Quick Bites
Mak n Vak - Fyn,HSR,Indian,3.9,337,500.0,Quick Bites
Hotel Tanish,HSR,Indian,3.6,13,250.0,Quick Bites
Second Wife Cafe,HSR,Indian,3.8,60,400.0,Quick Bites
Night Diaries,Whitefield,Indian,3.1,16,300.0,Quick Bites
Cafe Talkhouse,HSR,Indian,3.8,23,400.0,Quick Bites
Foodzoo,HSR,Indian,3.7,122,300.0,Quick Bites
Kakatiya's,HSR,Indian,3.1,6,250.0,Quick Bites
Kamat Minerva,Basavanagudi,Indian,2.6,72,300.0,Quick Bites
Halli Mane,Majestic,Indian,3.2,5,300.0,Quick Bites
Rishitha Restaurant,Whitefield,Indian,3.8,57,500.0,Quick Bites
KA53,Whitefield,Indian,3.7,22,300.0,Quick Bites
Roti Ghar Ki,Whitefield,Indian,4.0,107,400.0,Quick Bites
Indian Aroma Cafe,Whitefield,Indian,2.8,83,300.0,Quick Bites
Dehati Murgee,Whitefield,Indian,4.0,151,600.0,Quick Bites
Kitchen Rabbit,Whitefield,Indian,3.6,18,500.0,Quick Bites
The Combo House,Whitefield,Indian,3.3,7,500.0,Quick Bites
The Early bell,Whitefield,Indian,3.9,191,300.0,Quick Bites
Shan-e-Punjabi Express,Whitefield,Indian,3.1,71,400.0,Quick Bites
Foodies Delight,Whitefield,Indian,3.8,178,400.0,Quick Bites
U.P. Dhaba,Whitefield,Indian,2.8,511,350.0,Quick Bites
Windy- Taste Of Home,Whitefield,Indian,3.6,109,300.0,Quick Bites
Shyam's Lunch Box,Whitefield,Indian,3.2,9,300.0,Quick Bites
New Paratha Corner,Whitefield,Indian,3.9,175,350.0,Quick Bites
Punjabi Kitchen,Whitefield,Indian,3.6,202,400.0,Quick Bites
Kshatriya's Kitchen,Whitefield,Indian,3.7,54,300.0,Quick Bites
Taste Of India Family Restaurant,Whitefield,Indian,3.4,226,400.0,Quick Bites
RoadHouse Grill,Whitefield,Indian,3.8,99,450.0,Quick Bites
nu.tree,Whitefield,Indian,4.3,170,400.0,"Quick Bites, Beverage Shop"
New Punjabi Tasty Khana,Whitefield,Indian,3.0,177,400.0,Quick Bites
Vegtaurant,Whitefield,Indian,3.7,88,300.0,Quick Bites
Kabab Mirchi,Whitefield,Indian,3.4,46,350.0,Quick Bites
Nawabi Handi,Whitefield,Indian,3.4,23,350.0,Quick Bites
Nawab-E-Khana,Whitefield,Indian,3.1,6,500.0,Quick Bites
Delhiciouss,Whitefield,Indian,3.7,24,300.0,Quick Bites
New Udupi Delicacy,Whitefield,Indian,3.9,84,250.0,Quick Bites
Basmati Restaurant,Whitefield,Indian,3.1,20,350.0,Quick Bites
Rafoo Chakkar,Whitefield,Indian,3.9,385,300.0,Quick Bites
